rok,obec,scenar_id,scenar_nazev,pocet_domacnosti,spotreba_MWh_rok,podil_vhodnych_strech_procent,instalovany_vykon_kWp,baterie_kapacita_kWh,vodik_ano_ne,sobestacnost_procent,riziko_nestability_0_100,uspora_kc_domacnost_rok,co2_uspory_t_rok
2026,Most,S00,Baseline – bez zásahu,450,1432.8,43.4,185.0,0.0,0,4.1,28.2,9.0,81.6
2027,Most,S00,Baseline – bez zásahu,450,1425.6,43.4,185.0,0.0,0,4.1,28.2,9.0,81.6
2028,Most,S00,Baseline – bez zásahu,450,1418.4,43.4,185.0,0.0,0,4.1,28.3,9.0,81.6
2029,Most,S00,Baseline – bez zásahu,450,1411.2,43.4,185.0,0.0,0,4.1,28.3,9.0,81.6
2030,Most,S00,Baseline – bez zásahu,450,1404.0,43.4,185.0,0.0,0,4.2,28.4,9.0,81.6
2031,Most,S00,Baseline – bez zásahu,450,1396.8,43.4,185.0,0.0,0,4.2,28.4,9.0,81.6
2032,Most,S00,Baseline – bez zásahu,450,1389.6,43.4,185.0,0.0,0,4.2,28.5,9.0,81.6
2033,Most,S00,Baseline – bez zásahu,450,1382.4,43.4,185.0,0.0,0,4.2,28.5,9.0,81.6
2034,Most,S00,Baseline – bez zásahu,450,1375.2,43.4,185.0,0.0,0,4.2,28.6,9.0,81.6
2035,Most,S00,Baseline – bez zásahu,450,1368.0,43.4,185.0,0.0,0,4.3,28.6,9.0,81.6
2026,Litomerice,S00,Baseline – bez zásahu,280,835.8,55.2,98.0,0.0,0,3.7,27.2,8.0,43.2
2027,Litomerice,S00,Baseline – bez zásahu,280,831.6,55.2,98.0,0.0,0,3.7,27.3,7.0,43.2
2028,Litomerice,S00,Baseline – bez zásahu,280,827.4,55.2,98.0,0.0,0,3.7,27.3,7.0,43.2
2029,Litomerice,S00,Baseline – bez zásahu,280,823.2,55.2,98.0,0.0,0,3.8,27.4,8.0,43.2
2030,Litomerice,S00,Baseline – bez zásahu,280,819.0,55.2,98.0,0.0,0,3.8,27.4,8.0,43.2
2031,Litomerice,S00,Baseline – bez zásahu,280,814.8,55.2,98.0,0.0,0,3.8,27.5,8.0,43.2
2032,Litomerice,S00,Baseline – bez zásahu,280,810.6,55.2,98.0,0.0,0,3.8,27.5,7.0,43.2
2033,Litomerice,S00,Baseline – bez zásahu,280,806.4,55.2,98.0,0.0,0,3.8,27.6,7.0,43.2
2034,Litomerice,S00,Baseline – bez zásahu,280,802.2,55.2,98.0,0.0,0,3.8,27.6,7.0,43.2
2035,Litomerice,S00,Baseline – bez zásahu,280,798.0,55.2,98.0,0.0,0,3.9,27.7,8.0,43.2
2026,Zatec,S00,Baseline – bez zásahu,200,597.0,57.8,72.0,0.0,0,3.8,27.5,8.0,31.8
2027,Zatec,S00,Baseline – bez zásahu,200,594.0,57.8,72.0,0.0,0,3.8,27.5,8.0,31.8
2028,Zatec,S00,Baseline – bez zásahu,200,591.0,57.8,72.0,0.0,0,3.8,27.6,8.0,31.8
2029,Zatec,S00,Baseline – bez zásahu,200,588.0,57.8,72.0,0.0,0,3.9,27.6,8.0,31.8
2030,Zatec,S00,Baseline – bez zásahu,200,585.0,57.8,72.0,0.0,0,3.9,27.7,8.0,31.8
2031,Zatec,S00,Baseline – bez zásahu,200,582.0,57.8,72.0,0.0,0,3.9,27.7,8.0,31.8
2032,Zatec,S00,Baseline – bez zásahu,200,579.0,57.8,72.0,0.0,0,3.9,27.8,8.0,31.8
2033,Zatec,S00,Baseline – bez zásahu,200,576.0,57.8,72.0,0.0,0,3.9,27.8,8.0,31.8
2034,Zatec,S00,Baseline – bez zásahu,200,573.0,57.8,72.0,0.0,0,4.0,27.9,8.0,31.8
2035,Zatec,S00,Baseline – bez zásahu,200,570.0,57.8,72.0,0.0,0,4.0,27.9,8.0,31.8
2026,Bilina,S00,Baseline – bez zásahu,150,447.8,49.8,55.0,0.0,0,3.9,27.7,8.0,24.3
2027,Bilina,S00,Baseline – bez zásahu,150,445.5,49.8,55.0,0.0,0,3.9,27.7,8.0,24.3
2028,Bilina,S00,Baseline – bez zásahu,150,443.2,49.8,55.0,0.0,0,3.9,27.8,8.0,24.3
2029,Bilina,S00,Baseline – bez zásahu,150,441.0,49.8,55.0,0.0,0,3.9,27.8,8.0,24.3
2030,Bilina,S00,Baseline – bez zásahu,150,438.8,49.8,55.0,0.0,0,3.9,27.9,8.0,24.3
2031,Bilina,S00,Baseline – bez zásahu,150,436.5,49.8,55.0,0.0,0,4.0,27.9,8.0,24.3
2032,Bilina,S00,Baseline – bez zásahu,150,434.2,49.8,55.0,0.0,0,4.0,28.0,8.0,24.3
2033,Bilina,S00,Baseline – bez zásahu,150,432.0,49.8,55.0,0.0,0,4.0,28.0,8.0,24.3
2034,Bilina,S00,Baseline – bez zásahu,150,429.8,49.8,55.0,0.0,0,4.0,28.1,8.0,24.3
2035,Bilina,S00,Baseline – bez zásahu,150,427.5,49.8,55.0,0.0,0,4.1,28.1,8.0,24.3
2026,Vejprty,S00,Baseline – bez zásahu,80,238.8,58.8,32.0,0.0,0,4.2,28.6,9.0,14.1
2027,Vejprty,S00,Baseline – bez zásahu,80,237.6,58.8,32.0,0.0,0,4.2,28.6,8.0,14.1
2028,Vejprty,S00,Baseline – bez zásahu,80,236.4,58.8,32.0,0.0,0,4.3,28.7,9.0,14.1
2029,Vejprty,S00,Baseline – bez zásahu,80,235.2,58.8,32.0,0.0,0,4.3,28.7,9.0,14.1
2030,Vejprty,S00,Baseline – bez zásahu,80,234.0,58.8,32.0,0.0,0,4.3,28.8,9.0,14.1
2031,Vejprty,S00,Baseline – bez zásahu,80,232.8,58.8,32.0,0.0,0,4.3,28.8,9.0,14.1
2032,Vejprty,S00,Baseline – bez zásahu,80,231.6,58.8,32.0,0.0,0,4.4,28.9,9.0,14.1
2033,Vejprty,S00,Baseline – bez zásahu,80,230.4,58.8,32.0,0.0,0,4.4,28.9,9.0,14.1
2034,Vejprty,S00,Baseline – bez zásahu,80,229.2,58.8,32.0,0.0,0,4.4,29.0,9.0,14.1
2035,Vejprty,S00,Baseline – bez zásahu,80,228.0,58.8,32.0,0.0,0,4.4,29.1,9.0,14.1
2026,Dolni_Jiretin,S00,Baseline – bez zásahu,60,179.1,43.8,22.0,0.0,0,3.9,27.7,8.0,9.7
2027,Dolni_Jiretin,S00,Baseline – bez zásahu,60,178.2,43.8,22.0,0.0,0,3.9,27.7,8.0,9.7
